,ticker,name
532,GSAH/U,GS   ACQUISITION         HLDGS     CORP     II
535,GXGXW,GX   ACQUISITION         CORP
538,HZAC/U,HORIZON     ACQUISITION     CORP
539,HPX/WS,HPX   CORP
540,HPX/U,HPX   CORP
541,HECCW,HUDSON   EXECUTIVE      INVT   CORP
546,IGICW,INTL   GNRL   INSURANCE     HLDNGS     L
548,SPLV,INVESCO  EXCH  TRADED  FD  TR  II
549,PEZ,INVESCO  EXCHANGE  TRADED  FD   T
550,QQQ,INVESCO  QQQ  TR
551,FM,ISHARES    INC
552,EIS,ISHARES  INC
553,EWN,ISHARES  INC
554,ECH,ISHARES  INC
555,THD,ISHARES  INC
556,EPOL,ISHARES  TR
557,IGV,ISHARES  TR
558,IYW,ISHARES  TR
559,USHY,ISHARES  TR
560,ITB,ISHARES  TR
561,MTUM,ISHARES  TR
562,IWP,ISHARES  TR
563,IYT,ISHARES  TR
564,EPHE,ISHARES  TR
565,ENZL,ISHARES  TR
566,SOXX,ISHARES  TR
567,EIDO,ISHARES  TR
568,IGIB,ISHARES  TR
569,ITA,ISHARES  TR
570,IEF,ISHARES  TR
571,FLOT,ISHARES  TR
572,IGSB,ISHARES  TR
573,MUB,ISHARES  TR
574,TLT,ISHARES  TR
575,IWM,ISHARES  TR
576,TIP,ISHARES  TR
577,IYR,ISHARES  TR
578,IBB,ISHARES  TR
580,BBJP,J    P  MORGAN  EXCHANGE-TRADED   F
581,BBEU,J    P  MORGAN  EXCHANGE-TRADED   F
582,JPST,J    P  MORGAN  EXCHANGE-TRADED   F
583,JWS/U,JAWS   ACQUISITION      CORP
584,JWS/WS,JAWS   ACQUISITION      CORP
585,JIH/WS,JUNIPER    INDL    HLDGS   INC
586,JIH/U,JUNIPER    INDL    HLDGS   INC
587,KLR/WS,KALEYRA   INC
590,DFNS/U,LGL   SYS    ACQUISITION    CORP
591,DFNS/WS,LGL   SYS    ACQUISITION    CORP
595,LGVW/WS,LONGVIEW     ACQUISITION        CORP
596,LGVW/U,LONGVIEW     ACQUISITION        CORP
598,MOG/A,MOOG  INC
599,NESRW,NATIONAL   ENERGY      SERVICES    REU
601,NSH/U,NAVSIGHT     HLDGS   INC
602,NSCO/WS,NESCO    HLDGS  INC
603,NFH/WS,NEW  FRONTIER     HEALTH     CORP
605,NPAWW,NEW  PROVIDENCE       ACQUISITION
608,NHICW,NEWHOLD    INVESTMENT      CORP
609,NEE/PO,NEXTERA     ENERGY     INC
610,NEE/PQ,NEXTERA     ENERGY     INC
612,NGA/U,NORTHERN   GENESIS   ACQUISITION
614,OAC/WS,OAKTREE   ACQUISITION     CORP
615,OACB/U,OAKTREE   ACQUISITION     CORP  II
616,OXY/WS,OCCIDENTAL     PETE  CORP
618,AONE/U,ONE
621,SFTW/U,OSPREY   TECHNLGY         AQUISTION     CO
622,SFTW/WS,OSPREY   TECHNLGY         AQUISTION     CO
624,PAEWW,PAE     INC
625,PANA/WS,PANACEA   ACQUISITION         CORP
626,PANA/U,PANACEA   ACQUISITION         CORP
627,PDAC/U,PERIDOT     ACQUISITION        CORP
628,PSTH/WS,PERSHING     SQUARE     TONTINE     HLDG
632,PMVC/U,PMV   CONSUMER     ACQUISITION     COR
633,PTMN,PORTMAN   RIDGE     FIN  CORP
634,PIAI/U,PRIME   IMPACT     ACQUISITION      I
635,TBT,PROSHARES   TR
636,SH,PROSHARES  TR
637,QID,PROSHARES  TR
638,UDOW,PROSHARES  TR
639,SSO,PROSHARES  TR
640,UVXY,PROSHARES  TR  II
644,RBAC/U,REDBALL     ACQUISITION        CORP
645,RTP/U,REINVENT    TECHNOLOGY         PARTNERS
647,RPLA/WS,REPLAY   ACQUISITION           CORP
648,LEAP/U,RIBBIT   LEAP     LTD
649,RDS/A,ROYAL   DUTCH     SHELL    PLC
650,RDS/B,ROYAL   DUTCH     SHELL    PLC
653,SBG/U,SANDBRIDGE  ACQUISITION          CORP
654,SCPE/WS,SC   HEALTH  CORP
655,SCHD,SCHWAB  STRATEGIC  TR
656,SCVX/U,SCVX   CORP
657,SCVX/WS,SCVX   CORP
658,XLRE,SELECT  SECTOR     SPDR  TR
659,XLC,SELECT  SECTOR     SPDR  TR
660,XLK,SELECT  SECTOR     SPDR  TR
661,SRE/PA,SEMPRA   ENERGY
665,MDY,SPDR  S&P  MIDCAP   400   ETF  TR
666,XOP,SPDR  SER  TR
667,KRE,SPDR  SER  TR
668,KBE,SPDR  SER  TR
669,XBI,SPDR  SER  TR
670,STPK/U,STAR   PEAK     ENERGY       TRANSITION
672,SOAC/WS,SUSTAINABLE   OPPORTNTS       ACQ  CO
673,SOAC/U,SUSTAINABLE   OPPORTNTS       ACQ  CO
674,TWND/U,TAILWIND       ACQUISITION       CORP
676,THWWW,TARGET  HOSPITALITY          CORP
678,THBRW,THUNDER     BRDG   ACQUISTION    II   L
679,SNPR/U,TORTOISE    ACQUISITION     CORP     II
680,TREB/U,TREBIA   ACQUISITION     CORP
681,TREB/WS,TREBIA   ACQUISITION     CORP
682,BNO,UNITED  STS     BRENT     OIL   FD     LP
683,USO,UNITED  STS    OIL  FD     LP
684,ECOLW,US   ECOLOGY  INC
685,UTZ/WS,UTZ     BRANDS  INC
686,OIH,VANECK  VECTORS  ETF  TR
687,GDXJ,VANECK  VECTORS  ETF  TR
688,SMH,VANECK  VECTORS  ETF  TR
689,RSX,VANECK  VECTORS  ETF  TR
690,VNQ,VANGUARD     INDEX     FDS
691,VTEB,VANGUARD     MUN   BD  FDS
692,VPL,VANGUARD  INTL  EQUITY  INDEX  F
693,VCSH,VANGUARD  SCOTTSDALE    FDS
694,VIG,VANGUARD  SPECIALIZED      FUNDS
695,VIS,VANGUARD  WORLD  FDS
698,VRT/WS,VERTIV   HOLDINGS     CO
705,HIX,WESTERN   ASSET     HIGH  INCOME    FD
706,FREEW,WHOLE   EARTH     BRANDS     INC
708,EPI,WISDOMTREE  TR
710,YAC/WS,YUCAIPA       ACQUISITION        CORP
711,YAC/U,YUCAIPA       ACQUISITION        CORP
713,AIRTW,AIR T INC
715,SDOG,ALPS ETF TR
716,AEPPL,AMERICAN ELEC PWR CO INC
718,AIG/WS,AMERICAN INTL GROUP INC
723,BAC/PL,BK OF AMERICA CORP
731,BSX/PA,BOSTON SCIENTIFIC CORP
732,BWL/A,BOWL AMER INC
733,BHR/PB,BRAEMAR HOTELS & RESORTS INC
738,CHNGU,CHANGE HEALTHCARE INC
741,DHR/PA,DANAHER CORPORATION
742,DBEF,DBX ETF TR
743,EMSG,DBX ETF TR
744,DEUS,DBX ETF TR
746,DTP,DTE ENERGY CO
747,ELAT,ELANCO ANIMAL HEALTH INC
749,ENR/PA,ENERGIZER HLDGS INC NEW
751,EQC/PD,EQUITY COMWLTH
752,WTRU,ESSENTIAL UTILS INC
753,AGM/A,FEDERAL AGRIC MTG CORP
754,FQAL,FIDELITY COVINGTON TRUST
755,FEP,FIRST TR EXCH TRD ALPHDX FD
756,FEM,FIRST TR EXCH TRD ALPHDX FD
757,FPX,FIRST TR EXCHANGE TRADED FD
758,FTCS,FIRST TR EXCHANGE-TRADED FD
759,QQXT,FIRST TR EXCHANGE-TRADED FD
760,EMLP,FIRST TR EXCHANGE-TRADED FD
761,FNX,FIRST TR MID CAP CORE ALPHAD
762,FVD,FIRST TR VALUE LINE DIVID IN
763,FLQL,FRANKLIN TEMPLETON ETF TR
766,GSIE,GOLDMAN SACHS ETF TR
767,GEM,GOLDMAN SACHS ETF TR
770,HFXI,INDEXIQ ETF TR
771,IFFT,INTERNATIONAL FLAVORS&FRAGRA
773,PLW,INVESCO EXCH TRADED FD TR II
774,XMLV,INVESCO EXCH TRADED FD TR II
775,PWZ,INVESCO EXCH TRADED FD TR II
776,IDLV,INVESCO EXCH TRADED FD TR II
777,SPMV,INVESCO EXCH TRADED FD TR II
778,PZT,INVESCO EXCH TRADED FD TR II
779,IPKW,INVESCO EXCH TRADED FD TR II
780,PXH,INVESCO EXCH TRADED FD TR II
781,PDN,INVESCO EXCH TRADED FD TR II
782,PXF,INVESCO EXCH TRADED FD TR II
783,RWK,INVESCO EXCH TRADED FD TR II
784,RZV,INVESCO EXCHANGE TRADED FD T
785,RFV,INVESCO EXCHANGE TRADED FD T
786,XLG,INVESCO EXCHANGE TRADED FD T
787,SPHQ,INVESCO EXCHANGE TRADED FD T
788,RPV,INVESCO EXCHANGE TRADED FD T
789,PEY,INVESCO EXCHANGE TRADED FD T
790,PRFZ,INVESCO EXCHANGE TRADED FD T
791,PRF,INVESCO EXCHANGE TRADED FD T
792,PDP,INVESCO EXCHANGE TRADED FD T
793,PIN,INVESCO INDIA EXCHANGE-TRADE
794,GHYG,ISHARES INC
795,EMHY,ISHARES INC
796,DVYE,ISHARES INC
797,EEMS,ISHARES INC
798,ACWV,ISHARES INC
799,EEMV,ISHARES INC
800,EZU,ISHARES INC
801,EPP,ISHARES INC
802,EUSA,ISHARES INC
